Index,Plate,Row,Col,Volume（microliter）,Concentration（mM）,Solvent,ID,Name,Synonyms,CAS,SMILES,Formula,MolWt,Pathways,Target,Receptor,Bioactivity,Reference
1,PHD215176,a,2,50,10,DMSO,T0138,Cefpiramide acid,Cefpiramidum;Cefpiramido,70797-11-4,[H][C@]12SCC(CSc3nnnn3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)c1cnc(C)cc1O)c1ccc(O)cc1)C(O)=O,C25H24N8O7S2,612.64,Microbiology/Virology,Antibacterial;Antibiotic,PBPs,Cefpiramide acid (Cefpiramidum) is a third-generation cephalosporin antibiotic.,"Fass RJ, Helsel VL. Diagn Microbiol Infect Dis. 1986 Jan;4(1):77-81."
2,PHD215176,a,3,50,10,DMSO,T0198,Ceftiofur sodium,Naxcel;Sodium ceftiofur,104010-37-9,C(O)(=O)C=1N2[C@@]([C@H](NC(/C(=N\OC)/C3=CSC(N)=N3)=O)C2=O)(SCC1CSC(=O)C4=CC=CO4)[H].[Na],C19H16N5NaO7S3,545.54,Immunology/Inflammation;NF-κB;Microbiology/Virology;Apoptosis;MAPK,NF-κB;Antibacterial;Antibiotic;Interleukin;p38 MAPK;TNF,Antibacterial; Antibiotic; Bacterial,"Ceftiofur sodium (Naxcel), an antibiotic of the cephalosporin type (third generation), is used as veterinary medicine.","Yancey RJ Jr, et al. Am J Vet Res. 1987 Jul; 48(7): 1050-3."
3,PHD215176,a,4,50,10,DMSO,T0199,Cephradine,Anspor;Cephradin;Velosef;SQ-11436;Sefril,38821-53-3,CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CCC=CC1)C2=O)C(O)=O,C16H19N3O4S,349.40,Microbiology/Virology;MAPK,Antibacterial;Antibiotic;TOPK,Antibiotic; Bacterial; PBPs; TOPK,"Cephradine (Anspor) is a beta-lactam, first-generation cephalosporin antibiotic with bactericidal activity.","Hassert GL, et al. Antimicrob Agents Chemother. 1973 Jun;3(6):682-5.;Han HK, et al. J Pharm Sci. 1999, 88(3):347-50."
4,PHD215176,a,5,50,10,DMSO,T0234,Methicillin sodium salt,Methicillin sodium;Meticillin sodium,132-92-3,O=C(N[C@@H]1C(N2[C@]1([H])SC(C)(C)[C@@H]2C([O-])=O)=O)C3=C(OC)C=CC=C3OC.[Na+],C17H19N2NaO6S,402.40,Microbiology/Virology,Antibacterial;Antibiotic,Antibiotic; Bacterial; PBPs,"Methicillin sodium salt (Meticillin sodium) is a β-lactam antibiotic (natural product), a penicillin-binding protein inhibitor (anti-Staphylococcus aureus MIC=2.1 μg/mL), used for research on Staphylococcus aureus infections and inflammation-related studies.","Lincoln LJ, et al. Penicillinase-resistant penicillins plus gentamicin in experimental enterococcal endocarditis. Antimicrob Agents Chemother. 1977 Oct;12(4):484-9.;Mandell GL, Vest TK. Killing of intraleukocytic Staphylococcus aureus by rifampin: in-vitro and in-vivo studies. J Infect Dis. 1972 May;125(5):486-90."
5,PHD215176,a,6,50,10,DMSO,T0366,Cefadroxil,BL-S 578,50370-12-2,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1)C(O)=O,C16H17N3O5S,363.39,Microbiology/Virology;Metabolism,Antibacterial;Antibiotic;transporter,Antibiotic; Bacterial; PBPs,Cefadroxil (BL-S 578) is a Cephalosporin Antibacterial. The chemical classification of cefadroxil anhydrous is Cephalosporins.,"Williamson R, et al. Antimicrob Agents ChemOthers. 1980 Oct;18(4):629-37."
6,PHD215176,a,7,50,10,DMSO,T1001,Dicloxacillin Sodium hydrate,Dicloxacillin sodium salt monohydrate;Dicloxacillin sodium monohydrate,13412-64-1,[O-]C([C@@H]1N2[C@@](SC1(C)C)([H])[C@@H](C2=O)NC(C3=C(C)ON=C3C4=C(C=CC=C4Cl)Cl)=O)=O.[Na+].O,C19H18Cl2N3NaO6S,510.32,Microbiology/Virology,Antibacterial;Antibiotic,Antibacterial; Antibiotic; Bacterial,"Dicloxacillin Sodium hydrate is a narrow-spectrum β-Lactam antibiotic of the penicillin class, used to treat infections caused by susceptible Gram-positive bacteria.","Villegas-Guzman P, et al. J Environ Sci Health A Tox Hazard Subst Environ Eng. 2015;50(1):40-8."
7,PHD215176,a,8,50,10,DMSO,T1005,Amoxicillin,Amoxycillin,26787-78-0,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1)C(O)=O,C16H19N3O5S,365.4,Microbiology/Virology,Antibacterial;Antibiotic,antibiotic; Bacterial,"Amoxicillin (Amoxycillin) binds to and inactivates penicillin-binding proteins (PBPs) located on the inner membrane of the bacterial cell wall. Amoxicillin Anhydrous is the anhydrous form of a broad-spectrum, semisynthetic aminopenicillin antibiotic with bactericidal activity. Inactivation of PBPs interferes with the cross-linkage of peptidoglycan chains necessary for bacterial cell wall strength and rigidity. This interrupts bacterial cell wall synthesis and results in the weakening of the bacterial cell wall and causes cell lysis.","Cynamon MH, et al. Antimicrob Agents Chemother, 1983, 24(3), 429-431.;Shen X, Zhang W, Peng C, et al. In vitro anti‐bacterial activity and network pharmacology analysis of Sanguisorba officinalis L. against Helicobacter pylori infection[J]. Chinese medicine. 2021, 16(1): 1-19.;Yawalkar N, et al. J Invest Dermatol, 2000, 115(4), 647-652.;Mainardi JL, et al. Antimicrob Agents Chemother, 1995, 39(9), 1984-1987.;Liu Z, et al. J Control Release, 2005, 102(1), 135-144."
8,PHD215176,a,9,50,10,DMSO,T1008,Cephalexin,Cefalexin;Cephacillin,15686-71-2,O=C1N2[C@@]([C@@H]1NC([C@H](N)C3=CC=CC=C3)=O)(SCC(C)=C2C(O)=O)[H],C16H17N3O4S,347.39,Microbiology/Virology,Antibacterial;Antibiotic,Antibiotic; Bacterial; PBPs,Cephalexin (Cephacillin) is a cephalosporin antibiotic.,"Chen Y, Zhu Y, Shen M, et al. Rapid and automated detection of six contaminants in milk using a centrifugal microfluidic platform with two rotation axes[J]. Analytical Chemistry. 2019 May 24.;Webb JA, et al. Am J Vet Res, 2006, 67(4), 569-576.;Watanabe S, et al. J Pharmacol Exp Ther, 2010, 334(2), 651-656.;Zarebska A, et al. Ann Univ Mariae Curie Sklodowska Med, 2004, 59(1), 145-150.;Rees CA, et al. J Am Vet Med Assoc, 2004, 224(9), 1455-1458.;Damborg P, et al. Vet Microbiol, 2011, 151(3-4), 404-408."
9,PHD215176,a,10,50,10,DMSO,T1031,Cloxacillin sodium monohydrate,Bactopen,7081-44-9,[Na+].O.[C@H]12N([C@H](C(S2)(C)C)C(=O)[O-])C(=O)[C@H]1NC(=O)c1c(c2c(cccc2)Cl)noc1C,C19H17ClN3NaO5S·H2O,475.88,Microbiology/Virology,Antibacterial;Antibiotic,Antibiotic; Bacterial,"Cloxacillin sodium monohydrate (Cloxacillin Sodium) is the sodium salt of cloxaclliin, a semisynthetic beta-lactamase resistant penicillin antibiotic with antibacterial activity.","Roy DK, et al. Spectrochim Acta A Mol Biomol Spectrosc. 2005 Jul;61(9):2017-22."
10,PHD215176,a,11,50,10,DMSO,T1063,Ticarcillin disodium,Ticarpen disodium;Ticarcillin disodium salt,4697-14-7,[Na+].[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C([O-])=O)c3cccs3)C(=O)N2[C@H]1C([O-])=O,C15H14N2Na2O6S2,428.39,Microbiology/Virology,Antibacterial;Antibiotic,Antibacterial; Antibiotic; Bacterial,"Ticarcillin disodium (Ticarpen) is the disodium salt form of ticarcillin, a broad-spectrum, semi-synthetic penicillin antibiotic with bactericidal and beta-lactamase resistant activity. Similar to carbenicillin in action, ticarcillin inactivates the penicillin-sensitive transpeptidase C-terminal domain by opening the lactam ring. This inactivation prevents the cross-linkage of peptidoglycan strands, thereby inhibiting the third and last stage of bacterial cell wall synthesis. This leads to incomplete bacterial cell wall synthesis and eventually causes cell lysis.","Webb D, et al. Arch Intern Med. 1978 Nov;138(11):1618-20."
11,PHD215176,b,2,50,10,DMSO,T1122,Cephalothin sodium,Cephalothin sodium salt;Cefalotin sodium,58-71-9,[Na+].CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1cccs1)C2=O)C([O-])=O,C16H15N2NaO6S2,418.4,Microbiology/Virology,Antibacterial;Antibiotic,Antibiotic; Bacterial; PBPs,"Cephalothin sodium (Cefalotin) binds to and inactivates penicillin-binding proteins (PBP) located on the inner membrane of the bacterial cell wall. Cephalothin sodium (Cefalotin) is the sodium salt form of cephalothin, a semisynthetic, beta-lactam, the first-generation cephalosporin antibiotic with bactericidal activity. PBPs participate in the terminal stages of assembling the bacterial cell wall, and in reshaping the cell wall during cell division. Inactivation of PBPs interferes with the cross-linkage of peptidoglycan chains necessary for bacterial cell wall strength and rigidity. This results in the weakening of the bacterial cell wall and causes cell lysis.","Williamson R, et al. Antimicrob Agents ChemOthers. 1980 Oct;18(4):629-37."
12,PHD215176,b,3,50,10,DMSO,T1305,Ceftazidime,GR20263,72558-82-8,CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccccc3)=C(N2C1=O)C(O)=O)c1csc(=N)[nH]1)C([O-])=O,C22H22N6O7S2,546.58,Microbiology/Virology,Antibacterial;Antibiotic,Antibiotic; Bacterial; PBPs; Peptidoglycan synthase,"Ceftazidime (GR20263) is a beta-lactam, cephalosporin antibiotic with bactericidal activity.","Hayes MV, Orr DC. J Antimicrob ChemOthers. 1983 Aug;12(2):119-26."
13,PHD215176,b,4,50,10,DMSO,T0814L,Ampicillin,Aminobenzylpenicillin;Ampicillin acid;Amcill;D-(-)-α-Aminobenzylpenicillin,69-53-4,[H][C@@]1(NC(=O)[C@H](N)c2ccccc2)C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H],C16H19N3O4S,349.4,Microbiology/Virology,Antibacterial;Antibiotic,Antibiotic; Bacterial; PBPs,Ampicillin (Aminobenzylpenicillin) is a semi-synthetic penicillin belonging to the β-lactam group of antibiotics. Ampicillin has bactericidal activity against a wide range of Gram-positive and Gram-negative bacteria.,"Pancu DF, et al. Assessment of the In Vitro Cytotoxic Profile of Two Broad-Spectrum Antibiotics-Tetracycline and Ampicillin-On Pharyngeal Carcinoma Cells. Medicina (Kaunas). 2022 Sep 16;58(9):1289.;Lee KE, et al. The neuroprotective mechanism of ampicillin in a mouse model of transient forebrain ischemia. Korean J Physiol Pharmacol. 2016 Mar;20(2):185-92.;Chopra SL, et al. Effect of Ampicillin on E. Coli of Swine Origin. Can J Comp Med Vet Sci. 1963 Sep;27(9):223-7.;Jang HM, et al. Evidence for interplay among antibacterial-induced gut microbiota disturbance, neuro-inflammation, and anxiety in mice. Mucosal Immunol. 2018 Sep;11(5):1386-1397."
