slot,compound_id,name,bucket,functional_class,screen_conc_uM,working_solution_uM,screen_conc_source,expected_at_screen_conc,source_plate,source_well,refs_file
1,T19860,Clavulanic Acid,tier1_inhibitor,positive,50,500,literature,>=50% inhibition,PHD215176,h7,data/compound_literature/refs/T19860.json
2,T1262,Tazobactam,tier1_inhibitor,positive,50,500,project_default,>=50% inhibition,PHD215176,b10,data/compound_literature/refs/T1262.json
3,T6685,Sulbactam sodium,tier1_inhibitor,positive,50,500,project_default,>=50% inhibition,PHD215176,f2,data/compound_literature/refs/T6685.json
4,T14081,Enmetazobactam,tier1_inhibitor,positive,50,500,project_default,>=50% inhibition,PHD215176,f7,data/compound_literature/refs/T14081.json
5,T1005,Amoxicillin,substrate_control,negative,50,500,project_default,uncertain,PHD215176,a8,data/compound_literature/refs/T1005.json
6,T1008,Cephalexin,substrate_control,negative,50,500,project_default,uncertain,PHD215176,a9,data/compound_literature/refs/T1008.json
7,T0224,Meropenem,substrate_control,negative,50,500,project_default,uncertain,PHD215177,a3,data/compound_literature/refs/T0224.json
8,T0985,Oxacillin sodium salt,substrate_control,negative,50,500,project_default,<20% inhibition,PHD215177,a4,data/compound_literature/refs/T0985.json
9,T0138,Cefpiramide acid,diverse_pick,unknown,50,500,project_default,uncertain,PHD215176,a2,data/compound_literature/refs/T0138.json
10,T8390,Cefazolin,diverse_pick,unknown,50,500,project_default,<20% inhibition,PHD215176,f3,data/compound_literature/refs/T8390.json
