well,time_s,temperature_c,wavelength_nm,absorbance_a490,compound_id,concentration_uM,role,bucket,replicate,functional_class
A1,0.0,36.9,490,0.041,,,,,,
A1,30.0,36.9,490,0.041,,,,,,
A1,60.0,36.9,490,0.04,,,,,,
A1,90.0,36.9,490,0.04,,,,,,
A1,120.0,36.9,490,0.041,,,,,,
A1,150.0,36.9,490,0.04,,,,,,
A1,180.0,36.9,490,0.041,,,,,,
A1,210.0,36.9,490,0.041,,,,,,
A1,240.0,36.9,490,0.041,,,,,,
A1,270.0,36.9,490,0.04,,,,,,
A1,300.0,36.9,490,0.039,,,,,,
A1,330.0,36.9,490,0.04,,,,,,
A1,360.0,36.9,490,0.041,,,,,,
A1,390.0,36.9,490,0.039,,,,,,
A1,420.0,36.9,490,0.041,,,,,,
A1,450.0,36.9,490,0.041,,,,,,
A1,480.0,36.9,490,0.04,,,,,,
A1,510.0,36.9,490,0.04,,,,,,
A1,540.0,36.9,490,0.041,,,,,,
A1,570.0,36.9,490,0.04,,,,,,
A1,600.0,36.9,490,0.04,,,,,,
A1,630.0,36.9,490,0.04,,,,,,
A1,660.0,36.9,490,0.036,,,,,,
A1,690.0,36.9,490,0.041,,,,,,
A1,720.0,36.9,490,0.04,,,,,,
A1,750.0,36.9,490,0.04,,,,,,
A1,780.0,36.9,490,0.04,,,,,,
A1,810.0,36.9,490,0.038,,,,,,
A1,840.0,36.9,490,0.041,,,,,,
A2,0.0,36.9,490,0.039,,,,,,
A2,30.0,36.9,490,0.04,,,,,,
A2,60.0,36.9,490,0.04,,,,,,
A2,90.0,36.9,490,0.038,,,,,,
A2,120.0,36.9,490,0.041,,,,,,
A2,150.0,36.9,490,0.041,,,,,,
A2,180.0,36.9,490,0.04,,,,,,
A2,210.0,36.9,490,0.041,,,,,,
A2,240.0,36.9,490,0.042,,,,,,
A2,270.0,36.9,490,0.04,,,,,,
A2,300.0,36.9,490,0.039,,,,,,
A2,330.0,36.9,490,0.04,,,,,,
A2,360.0,36.9,490,0.04,,,,,,
A2,390.0,36.9,490,0.043,,,,,,
A2,420.0,36.9,490,0.04,,,,,,
A2,450.0,36.9,490,0.04,,,,,,
A2,480.0,36.9,490,0.041,,,,,,
A2,510.0,36.9,490,0.041,,,,,,
A2,540.0,36.9,490,0.041,,,,,,
A2,570.0,36.9,490,0.041,,,,,,
A2,600.0,36.9,490,0.04,,,,,,
A2,630.0,36.9,490,0.041,,,,,,
A2,660.0,36.9,490,0.037,,,,,,
A2,690.0,36.9,490,0.041,,,,,,
A2,720.0,36.9,490,0.039,,,,,,
A2,750.0,36.9,490,0.041,,,,,,
A2,780.0,36.9,490,0.04,,,,,,
A2,810.0,36.9,490,0.037,,,,,,
A2,840.0,36.9,490,0.039,,,,,,
A3,0.0,36.9,490,0.039,,,,,,
A3,30.0,36.9,490,0.04,,,,,,
A3,60.0,36.9,490,0.04,,,,,,
A3,90.0,36.9,490,0.039,,,,,,
A3,120.0,36.9,490,0.041,,,,,,
A3,150.0,36.9,490,0.04,,,,,,
A3,180.0,36.9,490,0.041,,,,,,
A3,210.0,36.9,490,0.041,,,,,,
A3,240.0,36.9,490,0.041,,,,,,
A3,270.0,36.9,490,0.04,,,,,,
A3,300.0,36.9,490,0.039,,,,,,
A3,330.0,36.9,490,0.04,,,,,,
A3,360.0,36.9,490,0.04,,,,,,
A3,390.0,36.9,490,0.04,,,,,,
A3,420.0,36.9,490,0.04,,,,,,
A3,450.0,36.9,490,0.04,,,,,,
A3,480.0,36.9,490,0.04,,,,,,
A3,510.0,36.9,490,0.041,,,,,,
A3,540.0,36.9,490,0.041,,,,,,
A3,570.0,36.9,490,0.041,,,,,,
A3,600.0,36.9,490,0.04,,,,,,
A3,630.0,36.9,490,0.041,,,,,,
A3,660.0,36.9,490,0.037,,,,,,
A3,690.0,36.9,490,0.041,,,,,,
A3,720.0,36.9,490,0.039,,,,,,
A3,750.0,36.9,490,0.04,,,,,,
A3,780.0,36.9,490,0.04,,,,,,
A3,810.0,36.9,490,0.037,,,,,,
A3,840.0,36.9,490,0.039,,,,,,
A4,0.0,36.9,490,0.04,,,,,,
A4,30.0,36.9,490,0.041,,,,,,
A4,60.0,36.9,490,0.04,,,,,,
A4,90.0,36.9,490,0.04,,,,,,
A4,120.0,36.9,490,0.042,,,,,,
A4,150.0,36.9,490,0.04,,,,,,
A4,180.0,36.9,490,0.041,,,,,,
A4,210.0,36.9,490,0.041,,,,,,
A4,240.0,36.9,490,0.041,,,,,,
A4,270.0,36.9,490,0.04,,,,,,
A4,300.0,36.9,490,0.039,,,,,,
A4,330.0,36.9,490,0.04,,,,,,
A4,360.0,36.9,490,0.04,,,,,,
A4,390.0,36.9,490,0.042,,,,,,
A4,420.0,36.9,490,0.04,,,,,,
A4,450.0,36.9,490,0.04,,,,,,
A4,480.0,36.9,490,0.041,,,,,,
A4,510.0,36.9,490,0.04,,,,,,
A4,540.0,36.9,490,0.041,,,,,,
A4,570.0,36.9,490,0.042,,,,,,
A4,600.0,36.9,490,0.042,,,,,,
A4,630.0,36.9,490,0.04,,,,,,
A4,660.0,36.9,490,0.039,,,,,,
A4,690.0,36.9,490,0.04,,,,,,
A4,720.0,36.9,490,0.04,,,,,,
A4,750.0,36.9,490,0.04,,,,,,
A4,780.0,36.9,490,0.04,,,,,,
A4,810.0,36.9,490,0.038,,,,,,
A4,840.0,36.9,490,0.038,,,,,,
A5,0.0,36.9,490,0.041,,,,,,
A5,30.0,36.9,490,0.041,,,,,,
A5,60.0,36.9,490,0.04,,,,,,
A5,90.0,36.9,490,0.04,,,,,,
A5,120.0,36.9,490,0.042,,,,,,
A5,150.0,36.9,490,0.04,,,,,,
A5,180.0,36.9,490,0.04,,,,,,
A5,210.0,36.9,490,0.041,,,,,,
A5,240.0,36.9,490,0.041,,,,,,
A5,270.0,36.9,490,0.041,,,,,,
A5,300.0,36.9,490,0.039,,,,,,
A5,330.0,36.9,490,0.04,,,,,,
A5,360.0,36.9,490,0.04,,,,,,
